opt_rounds,depth,sims,learning_rate,runtime,expect_value
20,4,1000,0.01,27.0640793,3.931
20,4,1000,0.0001,25.6336356,3.519
20,4,10000,0.1,33.0629852,2.7082
20,4,10000,0.01,34.372789,3.9188
20,4,10000,0.0001,32.0496219,3.5256
20,4,100000,0.1,105.4103187,3.74697
20,4,100000,0.01,104.880836,3.92794
20,4,100000,0.0001,104.5308898,3.52913
20,4,1000000,0.1,918.8369297,3.651584
20,4,1000000,0.01,912.5815661,3.92714
20,4,1000000,0.0001,930.1666113,3.53057
30,2,1000,0.1,13.4953413,3.658
30,2,1000,0.01,14.5358499,3.674
30,2,1000,0.0001,14.5130629,3.307
30,2,10000,0.1,19.0713919,3.6961
30,2,10000,0.01,19.5489503,3.6931
30,2,10000,0.0001,19.9306349,3.3162
30,2,100000,0.1,86.7058643,3.69097
30,2,100000,0.01,86.3682348,3.69975
30,2,100000,0.0001,86.4078437,3.29812
30,2,1000000,0.1,745.8052828,3.669742
30,2,1000000,0.01,732.2145264,3.696642
30,2,1000000,0.0001,655.8750725,3.300853
30,3,1000,0.1,22.1048541,2.838
30,3,1000,0.01,21.9461138,3.901
30,3,1000,0.0001,22.1921548,2.983
30,3,10000,0.1,30.5245855,3.789
30,3,10000,0.01,29.7099359,3.9245
30,3,10000,0.0001,30.1623709,2.9728
30,3,100000,0.1,109.767771,3.6985
30,3,100000,0.01,110.4105775,3.92702
30,3,100000,0.0001,109.4894091,2.9777
30,3,1000000,0.1,917.7628892,3.663654
30,3,1000000,0.01,907.460584,3.923551
30,3,1000000,0.0001,888.5754734,2.975854
30,4,1000,0.1,34.4541271,1.774
30,4,1000,0.01,34.3263782,3.958
30,4,1000,0.0001,34.7647908,3.556
30,4,10000,0.1,45.3753123,3.1447
30,4,10000,0.01,44.9404046,3.9676
30,4,10000,0.0001,44.9879263,3.536
30,4,100000,0.1,149.5404061,3.47494
30,4,100000,0.01,145.7687433,3.95445
30,4,100000,0.0001,145.8899373,3.54272
30,4,1000000,0.1,1179.90276,3.715088
30,4,1000000,0.01,1169.081042,3.955606
30,4,1000000,0.0001,1170.285409,3.544346
40,2,1000,0.1,16.0361118,3.085
40,2,1000,0.01,15.5805002,3.703
40,2,1000,0.0001,15.6812222,3.339
40,2,10000,0.1,23.6376078,3.4242
40,2,10000,0.01,23.2092785,3.6973
40,2,10000,0.0001,23.3021326,3.3149
40,2,100000,0.1,98.878844,3.68386
40,2,100000,0.01,106.256873,3.69731
40,2,100000,0.0001,97.9459792,3.31547
40,2,1000000,0.1,848.8384307,3.679025
40,2,1000000,0.01,850.138809,3.696895
40,2,1000000,0.0001,852.5107534,3.313377
40,3,1000,0.1,28.2360684,3.052
40,3,1000,0.01,28.7572231,3.933
40,3,1000,0.0001,29.4565095,3.005
40,3,10000,0.1,42.6540542,3.8757
40,3,10000,0.01,39.0805314,3.9232
40,3,10000,0.0001,37.8408095,2.9596
40,3,100000,0.1,139.8441367,3.71423
40,3,100000,0.01,141.8917375,3.94898
40,3,100000,0.0001,140.6459839,2.99494
40,3,1000000,0.1,1165.756716,3.561915
40,3,1000000,0.01,1178.170855,3.948512
40,3,1000000,0.0001,1197.748391,2.989871
40,4,1000,0.1,46.0452399,2.186
40,4,1000,0.01,46.2288915,3.943
40,4,1000,0.0001,47.0714062,3.545
40,4,10000,0.1,60.4833535,3.6736
40,4,10000,0.01,59.4990577,3.9754
40,4,10000,0.0001,60.497212,3.5629
40,4,100000,0.1,199.245491,3.83147
40,4,100000,0.01,196.4651616,3.97491
40,4,100000,0.0001,258.4447195,3.5588
40,4,1000000,0.1,1891.899436,3.759537
40,4,1000000,0.01,1973.404045,3.973246
40,4,1000000,0.0001,1754.381126,3.557035
